CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
A4,5025,AZIMUTH AIRLINES,2024-11-12T12:30:00,2024-11-12T12:30:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
EK,2346,EMIRATES,2024-11-12T12:30:00,2024-11-12T12:30:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
FZ,1808,FLYDUBAI,2024-11-12T12:30:00,2024-11-12T12:30:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
6H,047,ISRAIR AIRLINES,2024-11-12T12:30:00,2024-11-12T12:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,355-360,C,ON TIME,בזמן
E2,503,AIR HAIFA,2024-11-12T12:40:00,2024-11-12T12:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-11-12T12:40:00,2024-11-12T12:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,ON TIME,בזמן
EK,2268,EMIRATES,2024-11-12T12:45:00,2024-11-12T12:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1635,FLYDUBAI,2024-11-12T12:45:00,2024-11-12T12:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
IZ,214,ARKIA  ISRAELI  AIRLINES,2024-11-12T12:50:00,2024-11-12T12:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
WZ,4312,RED WINGS AIRLINES,2024-11-12T12:50:00,2024-11-12T12:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,47-50,B,ON TIME,בזמן
AM,7871,AERO MEXICO,2024-11-12T13:00:00,2024-11-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7855,AEROLINEAS ARGENTINAS S.A.,2024-11-12T13:00:00,2024-11-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6455,JETBLUE AIRWAYS CORPORATION,2024-11-12T13:00:00,2024-11-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7430,DELTA AIRLINES,2024-11-12T13:00:00,2024-11-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,007,EL AL ISRAEL AIRLINES,2024-11-12T13:00:00,2024-11-12T13:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
EK,2364,EMIRATES,2024-11-12T13:05:00,2024-11-12T13:05:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,65-68,C,ON TIME,בזמן
FZ,1212,FLYDUBAI,2024-11-12T13:05:00,2024-11-12T13:05:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,65-68,C,ON TIME,בזמן
LY,5104,EL AL ISRAEL AIRLINES,2024-11-12T13:05:00,2024-11-12T13:05:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,973,EL AL ISRAEL AIRLINES,2024-11-12T13:05:00,2024-11-12T13:05:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,78-99,D,ON TIME,בזמן
BZ,701,BLUE BIRD AIRWAYS,2024-11-12T13:10:00,2024-11-12T13:10:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-11-12T13:10:00,2024-11-12T13:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-41,B,ON TIME,בזמן
6H,253,ISRAIR AIRLINES,2024-11-12T13:10:00,2024-11-12T13:10:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,12-15,A,ON TIME,בזמן
HU,744,HAINAN AIRLINES,2024-11-12T13:15:00,2024-11-12T13:15:00,D,SZX,SHENZHEN  BAOAN INT.,שנז'ן,SHENZHEN,סין,CHINA,3,69-73,C,ON TIME,בזמן
EK,2370,EMIRATES,2024-11-12T13:20:00,2024-11-12T13:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,62-65,C,ON TIME,בזמן
FZ,1550,FLYDUBAI,2024-11-12T13:20:00,2024-11-12T13:20:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,62-65,C,ON TIME,בזמן
LY,5108,EL AL ISRAEL AIRLINES,2024-11-12T13:20:00,2024-11-12T13:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
A4,5026,AZIMUTH AIRLINES,2024-11-12T13:30:00,2024-11-12T13:30:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,17-19,A,ON TIME,בזמן
LY,574,EL AL ISRAEL AIRLINES,2024-11-12T13:30:00,2024-11-12T13:30:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
ET,418,ETHIOPIAN AIRLINES,2024-11-12T13:35:00,2024-11-12T13:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,8808,EL AL ISRAEL AIRLINES,2024-11-12T13:35:00,2024-11-12T13:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,375,EL AL ISRAEL AIRLINES,2024-11-12T13:40:00,2024-11-12T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
TP,8920,AIR PORTUGAL,2024-11-12T13:40:00,2024-11-12T13:40:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
WZ,020,RED WINGS AIRLINES,2024-11-12T13:40:00,2024-11-12T13:40:00,D,ZIA,MOSCOW-ZHUKOVSKY INTL AIRPOTR,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,44-47,B,ON TIME,בזמן
AM,7874,AERO MEXICO,2024-11-12T13:45:00,2024-11-12T13:45:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6462,JETBLUE AIRWAYS CORPORATION,2024-11-12T13:45:00,2024-11-12T13:45:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7429,DELTA AIRLINES,2024-11-12T13:45:00,2024-11-12T13:45:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
EK,2448,EMIRATES,2024-11-12T13:45:00,2024-11-12T13:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1081,FLYDUBAI,2024-11-12T13:45:00,2024-11-12T13:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LY,006,EL AL ISRAEL AIRLINES,2024-11-12T13:45:00,2024-11-12T13:45:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AF,7073,AIR FRANCE,2024-11-12T13:50:00,2024-11-12T13:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
EK,2269,EMIRATES,2024-11-12T13:50:00,2024-11-12T13:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,59-62,C,ON TIME,בזמן
FZ,1636,FLYDUBAI,2024-11-12T13:50:00,2024-11-12T13:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,59-62,C,ON TIME,בזמן
LY,327,EL AL ISRAEL AIRLINES,2024-11-12T13:50:00,2024-11-12T13:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
SK,3159,SAS,2024-11-12T13:50:00,2024-11-12T13:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
EY,594,ETIHAD AIRWAYS,2024-11-12T13:55:00,2024-11-12T13:55:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,27-33,A,ON TIME,בזמן
LY,9601,EL AL ISRAEL AIRLINES,2024-11-12T13:55:00,2024-11-12T13:55:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,27-33,A,ON TIME,בזמן
E2,505,AIR HAIFA,2024-11-12T14:00:00,2024-11-12T14:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,2-4,A,ON TIME,בזמן
6H,886,ISRAIR AIRLINES,2024-11-12T14:00:00,2024-11-12T14:00:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
U8,312,TUS AIRWAYS,2024-11-12T14:05:00,2024-11-12T14:05:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,20-23,A,ON TIME,בזמן
B6,6482,JETBLUE AIRWAYS CORPORATION,2024-11-12T14:10:00,2024-11-12T14:10:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7442,DELTA AIRLINES,2024-11-12T14:10:00,2024-11-12T14:10:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
IZ,808,ARKIA  ISRAELI  AIRLINES,2024-11-12T14:10:00,2024-11-12T14:10:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
LY,026,EL AL ISRAEL AIRLINES,2024-11-12T14:10:00,2024-11-12T14:10:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,5114,EL AL ISRAEL AIRLINES,2024-11-12T14:15:00,2024-11-12T14:15:00,A,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,5145,EL AL ISRAEL AIRLINES,2024-11-12T14:15:00,2024-11-12T14:15:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,78-99,D,ON TIME,בזמן
IZ,335,ARKIA  ISRAELI  AIRLINES,2024-11-12T14:20:00,2024-11-12T14:20:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-41,B,ON TIME,בזמן
AR,7876,AEROLINEAS ARGENTINAS S.A.,2024-11-12T14:30:00,2024-11-12T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,386,EL AL ISRAEL AIRLINES,2024-11-12T14:30:00,2024-11-12T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,5141,EL AL ISRAEL AIRLINES,2024-11-12T14:30:00,2024-11-12T14:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
SK,3168,SAS,2024-11-12T14:30:00,2024-11-12T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8937,AIR PORTUGAL,2024-11-12T14:30:00,2024-11-12T14:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
ET,419,ETHIOPIAN AIRLINES,2024-11-12T14:35:00,2024-11-12T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
LY,8809,EL AL ISRAEL AIRLINES,2024-11-12T14:35:00,2024-11-12T14:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
EK,2449,EMIRATES,2024-11-12T14:55:00,2024-11-12T14:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
FZ,1082,FLYDUBAI,2024-11-12T14:55:00,2024-11-12T14:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
LY,2366,EL AL ISRAEL AIRLINES,2024-11-12T14:55:00,2024-11-12T14:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
BZ,271,BLUE BIRD AIRWAYS,2024-11-12T15:00:00,2024-11-12T15:00:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,354,EL AL ISRAEL AIRLINES,2024-11-12T15:00:00,2024-11-12T15:00:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
U8,313,TUS AIRWAYS,2024-11-12T15:00:00,2024-11-12T15:00:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
6H,048,ISRAIR AIRLINES,2024-11-12T15:00:00,2024-11-12T15:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-11-12T15:10:00,2024-11-12T15:10:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
LY,5102,EL AL ISRAEL AIRLINES,2024-11-12T15:20:00,2024-11-12T15:20:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
6H,564,ISRAIR AIRLINES,2024-11-12T15:20:00,2024-11-12T15:20:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,972,EL AL ISRAEL AIRLINES,2024-11-12T15:30:00,2024-11-12T15:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LY,2372,EL AL ISRAEL AIRLINES,2024-11-12T15:35:00,2024-11-12T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3154,SAS,2024-11-12T15:35:00,2024-11-12T15:35:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-11-12T15:40:00,2024-11-12T15:40:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
6H,662,ISRAIR AIRLINES,2024-11-12T15:45:00,2024-11-12T15:45:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
BZ,272,BLUE BIRD AIRWAYS,2024-11-12T15:55:00,2024-11-12T15:55:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,24-26,A,ON TIME,בזמן
BZ,462,BLUE BIRD AIRWAYS,2024-11-12T15:55:00,2024-11-12T15:55:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,27-29,A,ON TIME,בזמן
AM,7851,AERO MEXICO,2024-11-12T16:00:00,2024-11-12T16:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
KL,2475,K.L.M.,2024-11-12T16:00:00,2024-11-12T16:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2024-11-12T16:00:00,2024-11-12T16:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
LY,382,EL AL ISRAEL AIRLINES,2024-11-12T16:00:00,2024-11-12T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3151,SAS,2024-11-12T16:00:00,2024-11-12T16:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,ON TIME,בזמן
SK,3184,SAS,2024-11-12T16:00:00,2024-11-12T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
IZ,417,ARKIA  ISRAELI  AIRLINES,2024-11-12T16:10:00,2024-11-12T16:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,34-41,B,ON TIME,בזמן
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-11-12T16:10:00,2024-11-12T16:10:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,ON TIME,בזמן
DL,7455,DELTA AIRLINES,2024-11-12T16:15:00,2024-11-12T16:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
E2,504,AIR HAIFA,2024-11-12T16:15:00,2024-11-12T16:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,358,EL AL ISRAEL AIRLINES,2024-11-12T16:15:00,2024-11-12T16:15:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
6H,346,ISRAIR AIRLINES,2024-11-12T16:15:00,2024-11-12T16:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
6H,726,ISRAIR AIRLINES,2024-11-12T16:25:00,2024-11-12T16:25:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
AF,7068,AIR FRANCE,2024-11-12T16:40:00,2024-11-12T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
IB,7713,IBERIA,2024-11-12T16:40:00,2024-11-12T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
IZ,337,ARKIA  ISRAELI  AIRLINES,2024-11-12T16:40:00,2024-11-12T16:40:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,34-41,B,ON TIME,בזמן
LY,320,EL AL ISRAEL AIRLINES,2024-11-12T16:40:00,2024-11-12T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,394,EL AL ISRAEL AIRLINES,2024-11-12T16:40:00,2024-11-12T16:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
SK,3164,SAS,2024-11-12T16:40:00,2024-11-12T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
6H,583,ISRAIR AIRLINES,2024-11-12T16:40:00,2024-11-12T16:40:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,12-15,A,ON TIME,בזמן
AF,7071,AIR FRANCE,2024-11-12T16:50:00,2024-11-12T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
AM,7853,AERO MEXICO,2024-11-12T16:50:00,2024-11-12T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
E2,507,AIR HAIFA,2024-11-12T16:50:00,2024-11-12T16:50:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,2-4,A,ON TIME,בזמן
KL,2472,K.L.M.,2024-11-12T16:50:00,2024-11-12T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,325,EL AL ISRAEL AIRLINES,2024-11-12T16:50:00,2024-11-12T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,338,EL AL ISRAEL AIRLINES,2024-11-12T16:50:00,2024-11-12T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
SK,3150,SAS,2024-11-12T16:50:00,2024-11-12T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
AM,7856,AERO MEXICO,2024-11-12T16:55:00,2024-11-12T16:55:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AR,7856,AEROLINEAS ARGENTINAS S.A.,2024-11-12T16:55:00,2024-11-12T16:55:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
B6,6456,JETBLUE AIRWAYS CORPORATION,2024-11-12T16:55:00,2024-11-12T16:55:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7431,DELTA AIRLINES,2024-11-12T16:55:00,2024-11-12T16:55:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,008,EL AL ISRAEL AIRLINES,2024-11-12T16:55:00,2024-11-12T16:55:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
AM,7877,AERO MEXICO,2024-11-12T17:00:00,2024-11-12T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-11-12T17:00:00,2024-11-12T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
VS,7495,VIRGIN ATLANTIC AIRWAYS,2024-11-12T17:00:00,2024-11-12T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
6H,561,ISRAIR AIRLINES,2024-11-12T17:15:00,2024-11-12T17:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,15-18,A,ON TIME,בזמן
E2,506,AIR HAIFA,2024-11-12T17:35:00,2024-11-12T17:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5142,EL AL ISRAEL AIRLINES,2024-11-12T17:40:00,2024-11-12T17:40:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
HY,303,UZBEKISTAN AIR,2024-11-12T17:45:00,2024-11-12T17:45:00,A,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,NOT FINAL,לא סופי
LY,2523,EL AL ISRAEL AIRLINES,2024-11-12T17:45:00,2024-11-12T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-11-12T17:45:00,2024-11-12T17:45:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,ON TIME,בזמן
AM,7859,AERO MEXICO,2024-11-12T17:50:00,2024-11-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-11-12T17:50:00,2024-11-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
IB,7715,IBERIA,2024-11-12T17:50:00,2024-11-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,396,EL AL ISRAEL AIRLINES,2024-11-12T17:50:00,2024-11-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,571,EL AL ISRAEL AIRLINES,2024-11-12T17:50:00,2024-11-12T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
IZ,604,ARKIA  ISRAELI  AIRLINES,2024-11-12T18:10:00,2024-11-12T18:10:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-11-12T18:15:00,2024-11-12T18:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
